Episode 123 finished with total reward 493.41576749915004, average loss 5.0140, end in 1000 steps
Episode 124 finished with total reward 492.85195596393686, average loss 5.5248, end in 1000 steps
Episode 125 finished with total reward 493.7732153969723, average loss 6.3054, end in 1000 steps
Episode 126 finished with total reward 487.77261235412783, average loss 8.0939, end in 1000 steps
Episode 127 finished with total reward 492.04749336313023, average loss 9.6504, end in 1000 steps
Episode 128 finished with total reward 491.95929643524414, average loss 10.2113, end in 1000 steps
Episode 129 finished with total reward 489.32135373939974, average loss 10.3147, end in 1000 steps
Episode 130 finished with total reward 489.7971801754131, average loss 11.1610, end in 1000 steps
Episode 131 finished with total reward 491.49747229521836, average loss 10.5392, end in 1000 steps
Episode 132 finished with total reward 489.5182167431504, average loss 12.8161, end in 1000 steps
Episode 133 finished with total reward 492.09934027242446, average loss 12.8647, end in 1000 steps
Episode 134 finished with total reward 492.56540498085246, average loss 12.4636, end in 1000 steps
Episode 135 finished with total reward 491.5850228921383, average loss 13.4356, end in 1000 steps
Episode 136 finished with total reward 491.8778768949945, average loss 14.3770, end in 1000 steps
Episode 137 finished with total reward 488.2255091405144, average loss 15.8263, end in 1000 steps
